node id,name,parent node id,node type,node class,parent relation,context,identifier,description
SEA FOOD: 1,Lobster Bisque,SEA FOOD: 119,concept,concept,subconcept of,Lobster Dishes,,"Bisque is a smooth, creamy, highly seasoned soup of French origin, classically based on a strained broth (coulis) of crustaceans"
JAVA:2,Lobster Newberg,JAVA:579,concept,concept,subconcept of,Lobster Dishes,,"Lobster Newberg  is an American seafood dish made from lobster, butter, cream, cognac, sherry, eggs, and Cayenne pepper."
JAVA:3,Lobster Roll,JAVA:212,concept,concept,subconcept of,Lobster Dishes,,"Lobster Newberg is an American seafood dish made from lobster, butter, cream, cognac, sherry, eggs, and Cayenne pepper."
JAVA:4,Lobster Stew,JAVA:610,concept,concept,subconcept of,Lobster Dishes,,"The lobster is added to a sofrito, onions, tomatoes, garlic and parsley and boiled, and is eaten with thin slices of bread."
JAVA:5,Activity Diagram,JAVA:78,concept,concept,subconcept of,Java software programming,,Activity Diagram: Java software programming: Web programming
JAVA:6,Acyclic Dependency,JAVA:634,concept,concept,subconcept of,Java software programming,,Acyclic Dependency: Java software programming: Web programming
JAVA:7,Acyclic Graph,JAVA:320,concept,concept,subconcept of,Java software programming,,Acyclic Graph: Java software programming: Web programming
JAVA:8,Afferent Coupling,JAVA:202,concept,concept,subconcept of,Java software programming,,Afferent Coupling: Java software programming: Web programming
JAVA:9,aggregate functions,JAVA:368,concept,concept,subconcept of,Java Hibernate,,aggregate functions: Java Hibernate: Web programming
JAVA:10,Aggregation,JAVA:722,concept,concept,subconcept of,Java software programming,,Aggregation: Java software programming: Web programming
JAVA:11,Agile Development,JAVA:775,concept,concept,subconcept of,Java software programming,,Agile Development: Java software programming: Web programming
JAVA:12,Ajax,JAVA:452,concept,concept,subconcept of,Java software programming,,Ajax: Java software programming: Web programming
JAVA:13,Algorithm Complexity,JAVA:832,concept,concept,related,Java software programming,,Algorithm Complexity: Java software programming: Web programming
JAVA:14,Amazon AWS,JAVA:372,concept,concept,subconcept of,Java software programming,,Amazon AWS: Java software programming: Web programming
JAVA:15,Angular JS,JAVA:452,concept,concept,subconcept of,Java software programming,,Angular JS: Java software programming: Web programming
JAVA:16,annotations,JAVA:354,concept,concept,subconcept of,Java Hibernate,,annotations: Java Hibernate: Web programming
